,first_name,middle,last_name,date_of_birth,sex,race_ethnicity,address,zipcode,household_id,unique_id,age,relation_to_household_head
17936,Kayden,Dash,Graham,2015-09-10,Male,Black,"216 strangi avenue  jacksonville, fl",32258,7641,234,,
17937,Deanna,Birdie,Marlowe,2019-10-18,Female,Black,"216 strangi avenue  jacksonville, fl",32258,7641,235,,
18043,Ariana,Cheyanne,Alexander,2015-08-20,Female,White,"3504 brenden ct  trenton, fl",32693,7679,236,,
18069,Iris,Valentina,Atkinson,2019-06-21,Female,Black,"7550 s camino bello  wst palm beach, fl",33411,7689,237,,
18102,Miguel,Oliver,Robinson,2017-05-21,Male,White,"1409 jessie ave  unincorporated, fl",33437,7704,238,,
18151,Enzo,Benton,Stockburger,2019-05-28,Male,White,"399 shady grove rd  davie, fl",33324,7725,239,,
18180,Violet,Lexi,Martinez,2017-11-14,Female,Latino,"2909 songbird dr  jacksonville, fl",32206,7737,240,,
18199,Michael,Joseph,Head,2017-01-03,Male,White,"9809 conservation dr  riverview, fl",33569,7747,241,,
18238,Melanie,Gabriella,Jimenez,2019-01-01,Female,Latino,"3750 franklin blvd  north port, fl",34286,7766,242,,
18455,Madison,Mckenzie,Huertas,2015-08-10,Female,Latino,"1955 empire boulevard  estero, fl",33928,7855,243,,
18484,Carmela,Alaia,Silva,2019-05-12,Female,Latino,"205 sandy ln  unincorporated, fl",33408,7867,244,,
18502,Hailey,Royalty,Alfaro,2019-10-13,Female,Latino,"727 north 90th street  venice, fl",34285,7872,245,,
18523,Christopher,Jeshua,Hunt,2019-09-01,Male,Black,"1560 whittier avnu  kendall, fl",33156,7883,246,,
18823,Tyson,Boden,Oakley,2018-04-01,Male,White,"18179 ponderosa ct  englewood, fl",33946,8006,247,,
18975,Caleb,Edward,Mcqueen,2017-12-25,Male,Black,"2018 grinstead drive apt 524 melbourne, fl",32940,8070,248,,
19039,Emma,Amalia,Lyle,2018-10-31,Female,Black,"1075 grimes bridge road  unincorporated, fl",33437,8100,249,,
19040,Lily,Stella,Butler,2019-06-19,Female,Black,"1075 grimes bridge road  unincorporated, fl",33437,8100,250,,
19095,Giada,Riley,Mcgrady,2015-10-30,Female,White,"2305 n ocotillo ln  weeki wachee, fl",34613,8122,251,,
19098,Theodore,Nicholas,Swallow,2019-12-28,Male,White,"2305 n ocotillo ln  weeki wachee, fl",34613,8122,252,,
19172,Evan,Steve,Fabregas,2018-07-10,Male,Latino,"2808 blanche dr  ocala, fl",34482,8154,253,,
19580,Aria,Mayah,Miller,2017-08-17,Female,White,"2037 southwest high avenue  deltona, fl",32725,8321,254,,
19617,Valentina,Leena,Robinson,2018-04-08,Female,Black,"143-44 37 avenue  spring hill, fl",34606,8330,255,,
19733,Raelynn,Kennedi,Ocampo,2018-01-01,Female,Latino,"30994 dover  riverview, fl",33619,8375,256,,
19842,Nicholas,Asher,Perez,2016-04-16,Male,Latino,"950 north sharon avenue apt 1 c largo, fl",33778,8423,257,,
19857,Laura,Krystal,Villanueva,2015-07-27,Female,Latino,"18670 highway 263  harmony, fl",34771,8427,258,,
19896,Delilah,Yaneli,Bragg,2015-12-28,Female,Black,"3584 utica dr  ocala, fl",34474,8444,259,,
19917,Ellie,Emersyn,Jordan,2020-02-03,Female,Black,"37237 agar dr  ft myers beach, fl",33931,8452,260,,
19929,Valeria,Lily,Jones,2019-12-08,Female,White,"1814 andrews frm rd  lake mary, fl",32746,8458,261,,
20021,Jack,Gerald,Dean,2019-11-23,Male,White,"5415 skunk lane  kissimmee, fl",34744,8500,262,,
20095,Brooklyn,Alexandra,Martinez,2017-06-12,Female,Latino,"90 annandale rd  pompano beach, fl",33060,8531,263,,
20255,Zion,Bo,Jewell,2017-02-08,Male,White,"8317 michener ave  lake mary, fl",32746,8605,264,,
20408,Jaxson,Kameron,Charles,2017-07-10,Male,Black,"684 n 2nd ave  ft myers, fl",33913,8659,265,,
20441,Zoe,Leora,Rigsbee,2019-11-25,Female,White,"1923 smith st  lehigh acres, fl",33976,8674,266,,
20472,Kinley,Delilah,Keighley,2018-07-30,Female,White,"792 e sandhill ct  norh fort myers, fl",33903,8686,267,,
20565,Edward,Alden,Hickey,2015-05-18,Male,White,"400 n redfield st  sarasota, fl",34326,8729,268,,
20577,Oliver,Damian,Cole,2018-06-09,Male,White,"1105 sandpiper wy apt no 41 jacksonville, fl",32216,8732,269,,
20586,Salem,Skylar,Andrade,2016-04-27,Female,Latino,"13940 n 96th st  punta gorda, fl",33983,8736,270,,
20727,Ethan,Tristan,Scott,2016-08-19,Male,Black,"2822 daneland st  palm bay, fl",32905,8791,271,,
20770,Victoria,Nia,Godinez,2018-08-24,Female,Latino,"3456 ne pacific st  lehigh acres, fl",33971,8804,272,,
20782,Bryan,Blaze,Bejerano,2017-04-02,Male,Latino,"343 lewis blvd se  lake clarke shores, fl",33406,8809,273,,
20958,Carlos,Maddox,Sheffey,2015-08-17,Male,Multiracial or Other,"1441 grove st  lakeland, fl",33805,8876,274,,
21091,Maria,Summer,Lindsey,2019-08-30,Female,Black,"10722 5th avenue northwest number 1 pt saint lucie, fl",34953,8931,275,,
21277,Yahir,Mason,Martinez,2019-04-21,Male,Latino,"116 mock cr  riverview, fl",33578,9006,276,,
21308,Easton,Yael,Mendoza,2017-02-19,Male,Latino,"19401 hemmingway st  jacksonville, fl",32225,9021,277,,
21565,Aaliyah,Ariela,Rifkin,2019-12-15,Female,White,"1543 briarfield road  jacksonville, fl",32221,9133,278,,
21607,Andrea,Samiya,Taber,2019-01-28,Female,White,"10 e washington st  hialeah, fl",33169,9154,279,,
21735,Lylah,Jocelyn,Price,2018-03-12,Female,White,"131 garnet dr  palm bay, fl",32908,9211,280,,
21796,Dylan,Zachary,Kent,2017-12-13,Male,White,"1002 prospect ave  port saint lucie, fl",34953,9237,281,,
21862,Nirvana,Grace,Mccollum,2015-11-30,Female,Asian,"14817 portland avenue south  unincorporated, fl",32812,9265,282,,
21953,Jose,Aston,Adams,2018-11-04,Male,Black,"18306 ridgefield rd nw  jacksonville, fl",32257,9307,283,,
21970,Stella,Adaline,Minter,2015-08-18,Female,Black,"944 quarry prk dr  kendall, fl",33143,9315,284,,
21989,Alessandra,Amiyah,Martinez,2018-06-16,Female,Latino,"27 tudor ave  gulf resort beach, fl",32413,9321,285,,
21990,Rosalia,Milania,Tolentino,2018-06-13,Female,Latino,"27 tudor ave  gulf resort beach, fl",32413,9321,286,,
22048,Natalie,Sirena,Chambers,2015-07-07,Female,White,"405 nw uptown ter  sarasota, fl",34234,9344,287,,
22056,Kaleah,Mila,Bontempi,2018-04-16,Female,White,"10416 miles ln  pensacola, fl",32504,9347,288,,
22226,Caleb,Noah,Verduzco,2018-12-08,Male,Latino,"246 state st  orlando, fl",32812,9417,289,,
22305,Isaiah,Victor,Gandara,2016-02-15,Male,Latino,"1157 terrace lake dr  north fort myers, fl",33917,9457,290,,
22372,Jude,Jaxen,Pulu,2017-04-02,Male,White,"1812 s j st  jacksonville, fl",32202,9488,291,,
22629,Matthew,Fernando,Florez-Paz,2017-10-25,Male,Latino,"20 brk street  miami beach, fl",33138,9604,292,,
22760,Sebastian,Jase,Castillo,2016-06-05,Male,Latino,"885 n 21 st  longwood, fl",32779,9655,293,,
22923,Ashley,Cora,Garcia,2016-05-02,Female,Latino,"145 yellowbell rd  boynton beach, fl",33436,9722,294,,
22924,Waylon,Rowan,Garcia,2018-10-15,Male,Latino,"145 yellowbell rd  boynton beach, fl",33436,9722,295,,
23048,Naliyah,Simone,Velasco,2016-02-25,Female,Latino,"1266 willow grove drive  orlando, fl",32829,9775,296,,
23126,Alani,Jhene,Sanders,2019-03-09,Female,Black,"1003 w gray st  alachua, fl",32615,9808,297,,
23127,Nyla,Alayah,Teetzel,2019-06-12,Female,Black,"1003 w gray st  alachua, fl",32615,9808,298,,
23158,Jarrell,Dhruv,Brooks,2018-08-09,Male,White,"3841 a 23rd avenue west  blue lakes ridge, fl",32702,9822,299,,
23159,Sarina,Niomi,Snyder,2019-12-09,Female,White,"3841 a 23rd avenue west  blue lakes ridge, fl",32702,9822,300,,
23284,Harris,Deonte,Ouma,2020-03-17,Male,Black,"2662 tranquila ln  fort myers, fl",33908,9876,301,,
23298,Kylie,Valeria,Ruffin,2018-10-24,Female,Black,"2509 moyers rd  estero, fl",33928,9880,302,,
23481,Dax,Jayden,Pargo,2019-08-08,Male,Black,"560 norte 195th dve  st. petersburg, fl",33701,9961,303,,
23598,Phillip,Liam,Donaldson,2019-11-10,Male,Black,"20919 roseton ave  ocoee, fl",34761,10016,304,,
23617,Jordan,Russell,Parker,2017-10-05,Male,White,"1160 delta wy  coral springs, fl",33071,10022,305,,
23712,Kaison,Logan,Sanchez-Guzman,2019-01-19,Male,Latino,"11330 110th ct n  jacksonville, fl",32256,10063,306,,
23881,Demarco,Isaiah,Klein,2016-12-13,Male,White,"3825 n center rd  unincorporated, fl",32825,10133,307,,
24009,Jeremiah,Victor,Laforest,2017-06-22,Male,Black," e washington st  neptune beach, fl",32266,10184,308,,
24072,Kai,Lucian,Navarrette,2019-07-01,Male,Latino,"3315 stoneway dr w  webster, fl",33597,10207,309,,
24153,Nya,Stella,Garza,2019-04-12,Female,Latino,"26035 sw wolsborn ave  sarasota, fl",34231,10243,310,,
24172,Hazel,Mariah,Cox,2020-02-12,Female,White,"3037 frisby st  riverview, fl",33578,10249,311,,
24226,Rosalina,Hannah,Wall,2018-01-23,Female,Black,"4803 ashurst st  jacksonville, fl",32206,10271,312,,
24227,Devonte,Christian,Mcquiller,2019-06-20,Male,Black,"4803 ashurst st  jacksonville, fl",32206,10271,313,,
24260,Juliette,Fabiana,Thorn,2019-09-13,Female,White,"4334 lakewood blvd  winter haven, fl",33880,10281,314,,
24347,Warren,Lucas,Griese,2017-12-28,Male,White,"1541 e sierra st  unincorporated, fl",32825,10318,315,,
24357,Hadlee,Indira,Butler,2015-08-28,Female,Black,"1612 so shelby street # 514 bradenton, fl",34208,10321,316,,
24510,Iliana,Leila,Jimenez,2016-05-27,Female,Latino,"8711 buckhorn st  vero beach, fl",32960,10386,317,,
24577,Journey,Arie,Jones,2017-03-19,Female,Black,"1009 linden ave  orange pk, fl",32065,10412,318,,
24905,Diego,Mikhail,Barber,2018-09-03,Male,White,"1001 11th avenue  hialeah, fl",33056,10554,319,,
25029,Felipe,Lucas,Garza,2016-04-19,Male,Latino,"500 n thacker ave  cocoa, fl",32922,10611,320,,
25162,Ronald,Leonardo,Ervin,2017-04-12,Male,Black,"611 5th str  ft myers, fl",33908,10667,321,,
25196,Lina,Emma,Geddes,2017-10-11,Female,White,"69-10 68 plc  jacksonville, fl",32223,10682,322,,
25516,Omar,Akim,Meggett,2015-06-10,Male,Black,"9311 hi view lane  st. petersburg, fl",33712,10812,323,,
25517,Adrian,Parker,Goss,2016-04-15,Male,Black,"9311 hi view lane  st. petersburg, fl",33712,10812,324,,
25596,Joshua,Jahmari,Crostic,2019-11-13,Male,White,"208 great marsh roa  cape coral, fl",33914,10845,325,,
25663,Simone,Lyla,Christensen,2019-02-23,Female,Multiracial or Other,"106 george ellis pt  macclenny, fl",32063,10874,326,,
25880,Mavrick,Kieran,Miller,2018-05-30,Male,Multiracial or Other,"265 forest dr  homestead, fl",33033,10974,327,,
26252,Amelia,Eliza,Hernandes,2019-04-08,Female,Latino,"2506 e allen st  clearwater, fl",33765,11130,328,,
26345,Kayley,Kaila,Reyes,2019-12-30,Female,Latino,"2841 birch road  unincorporated, fl",33433,11168,329,,
26420,Thomas,Eli,Waters,2019-09-28,Male,Black,"650 9th ave south west  jacksonville, fl",32216,11197,330,,
26505,Imani,Lilyrose,Lentz,2019-02-24,Female,White,"1017 mnr road  hialeah, fl",33169,11235,331,,
26593,Elizabeth,Josie,Hogue,2016-08-18,Female,White,"19 gardiner st  edgewater, fl",32132,11269,332,,
26668,Jewel,Rose,Harris,2019-08-22,Female,White,"2030 n westmoreland st  odessa, fl",33556,11298,333,,
26788,Mia,Kyndall,Infinger,2016-01-06,Female,White,"10669 e dry springs st  prt charlotte, fl",33948,11349,334,,
26896,Dexter,Noah,Spade,2019-06-08,Male,White,"18523 wawona drive  unincorporated, fl",33436,11388,335,,
27081,Angela,Leilani,Murphy,2015-09-19,Female,White,"383 copper hill dr  cape coral, fl",33993,11463,336,,
27122,Elias,Adam,Taylor,2020-02-25,Male,White,"2225 braeburn edr  satsuma, fl",32189,11485,337,,
27175,Logan,Levi,Brandl,2017-02-01,Male,White,"12007 north cedar drive  deerfield beach, fl",33442,11511,338,,
27309,Ethan,Greyson,Span,2018-04-02,Male,Black,"609 se 47th loop  orlando, fl",32822,11563,339,,
27319,Tamiya,Brielle,Lewis,2016-02-26,Female,Latino,"2203 waterview cir  lehigh acres, fl",33976,11567,340,,
27396,Blake,Adina,Nappi,2019-04-12,Female,White,"1396 jefferson dr  kissimmee, fl",34741,11597,341,,
27492,Laith,Blaine,Boyer,2018-05-10,Male,Black,"3803 kemper st  lutz, fl",33625,11635,342,,
27510,Jayce,Nathan,Pembleton,2015-09-08,Male,Black," cecil b moore avenu  jacksonville, fl",32244,11640,343,,
27780,Skylar,Kimberly,Lowe,2016-09-13,Female,Multiracial or Other," archibald ave  weston, fl",33326,11760,344,,
27924,Sebastian,Kevin,Vera,2020-03-01,Male,Latino,"18 saundra dr  palm beach gardens, fl",33410,11815,345,,
27942,Sage,Areli,Bergman,2018-03-25,Female,White,"6135 andwood st  fort myers, fl",33907,11822,346,,
27947,Liam,Patrick,Tilton,2016-06-17,Male,White,"78621 eva mae rd  lake worth, fl",33460,11824,347,,
28005,Jessica,Naylah,Sandhu,2018-03-07,Female,Asian," reese dr  south palm beach, fl",33480,11850,348,,
28061,Emma,Ainhoa,Naquin,2019-04-25,Female,White,"156 glades rd  unincorporated, fl",33446,11874,349,,
28096,Michael,Nixon,Albright,2017-08-08,Male,Multiracial or Other,"920 southwest maplecrest court apartment d 004 titusville, fl",32780,11887,350,,
28166,John,Maxwell,Velez,2017-07-23,Male,Latino,"510 e ash ln  rockledge, fl",32955,11913,351,,
28259,Liam,Jaxson,Harmon,2015-06-07,Male,Black," e 28th st  titusville, fl",32796,11953,352,,
28565,Steven,David,Gainey,2015-09-07,Male,Black,"5960 range line rd  bradenton, fl",34203,12088,353,,
28746,Daniel,Dallas,Quintanilla,2017-01-19,Male,Latino,"1215 chowan ave  bradenton, fl",34209,12166,354,,
29050,Devonte,Jace,Skinner,2017-06-09,Male,White,"760 west kathleen drive  orange blossom, fl",34711,12285,355,,
29146,Benjamin,Joshua,Deleon,2019-08-27,Male,Latino,"10196 faussett rd  burnt store lakes, fl",33955,12324,356,,
29194,Steven,Shepard,Gabriel,2019-12-07,Male,Black,"652 encinitas avenue unit 3 madeira beach, fl",33708,12346,357,,
29221,Ava,Giada,Soma,2019-12-30,Female,White,"7647 canoga ave  mcintosh, fl",32664,12355,358,,
29396,Jaylen,Chester,Legrow,2019-10-16,Male,White,"21793 e rowland cir  cpe coral, fl",33909,12432,359,,
29416,Emma,Liliana,Richmond,2018-04-28,Female,White,"728 spring mill ln  brandon, fl",33547,12441,360,,
29442,Aidan,Hunter,Knight,2015-10-25,Male,White,"595 ne 799 st  altamonte springs, fl",32714,12450,361,,
29447,Bryson,Liam,Ramirez,2017-11-30,Male,Latino,"1946 leonid rd  coconut crk, fl",33066,12451,362,,
29485,Bernard,Kai,Garcia,2019-01-19,Male,Latino,"6326 five mi centre park  prt charlotte, fl",33983,12468,363,,
29520,Lea,Jordyn,Anderson,2016-07-07,Female,White,"10 hosmer dr  longwood, fl",32779,12484,364,,
29548,Aurora,Londyn,Villalobos,2018-11-28,Female,Latino,"815 gregory avenue  palm bay, fl",32907,12495,365,,
29675,Chloe,Layla,Kemper,2018-05-29,Female,White,"1315 park st  clearwater, fl",34698,12545,366,,
29860,Addison,Sariah,Verde,2018-04-11,Female,White,"7580 abner ln  st. petersburg, fl",33701,12631,367,,
29920,Liam,Caden,Flint,2020-03-29,Male,White,"656 sw 25th st  delray beach, fl",33483,12659,368,,
29990,Carter,Tyler,Paige,2018-10-01,Male,Black,"236 e hidden vw dr  melbourne, fl",32934,12686,369,,
29994,Paisley,Braylin,Hanson,2018-09-16,Female,White," 4th ave n  sebastian, fl",32958,12687,370,,
30029,David,William,Aguero,2016-11-13,Male,Latino,"640 ruby trust way  cape coral, fl",33909,12701,371,,
30084,Jordan,Yair,Valle,2016-06-16,Male,Latino,"20235 fenmore  fort myers, fl",33913,12724,372,,
30085,Priscila,Kylie,Linares-Brito,2019-10-13,Female,Latino,"20235 fenmore  fort myers, fl",33913,12724,373,,
30109,Benjamin,Phillip,Basulto,2019-09-12,Male,Latino,"9553 sage hill way  miami beach, fl",33138,12736,374,,
30170,Isaiah,Jesus,Kinney,2019-11-07,Male,Multiracial or Other,"8901 danshire road apt 324 wesley chapel, fl",33544,12757,375,,
30178,Skyler,Emily,Padilla,2017-12-01,Female,Latino,"4952 w lakeview park dr  unincorporated, fl",34786,12759,376,,
30221,Gabriel,William,Lombardi,2018-02-26,Male,White,"4039 ne 76th ave  stuart, fl",34997,12776,377,,
30364,Lukas,Gabriel,Mcinnis,2016-06-18,Male,Black,"n25w 26466 bucks is court  orlando, fl",32811,12838,378,,
30389,Thaddeus,Leonardo,Niblock,2019-09-03,Male,Multiracial or Other,"15509 vail cut off rd se  jacksonville, fl",32254,12847,379,,
30390,Kamryn,Meadow,Barber,2019-08-09,Female,Multiracial or Other,"15509 vail cut off rd se  jacksonville, fl",32254,12847,380,,
30670,Damien,Nova,Brown,2016-05-30,Male,Black,"4991 picciola dr  lake pk, fl",33403,12976,381,,
30742,Thomas,Adley,Sanchez-Lopez,2018-10-20,Male,Latino,"6400 surfside ln  crescent cty, fl",32112,13006,382,,
30769,Adam,Jace,Westall,2017-04-16,Male,White,"130 fuller str  palm bay, fl",32909,13017,383,,
30798,Troy,Parker,Och,2017-12-16,Male,White,"1179 anna rebecca ct  hialeah, fl",33179,13027,384,,
30799,Nova,Callie,Kowalsky,2019-10-25,Female,White,"1179 anna rebecca ct  hialeah, fl",33179,13027,385,,
30990,Karter,Josiah,Paynter,2018-10-17,Male,White,"3500 american blv west  bonita spgs, fl",34135,13109,386,,
31043,Sariyah,Malia,Ferguson,2018-04-30,Female,White,"4465 possum st  sarasota, fl",34239,13128,387,,
31050,Bianca,Layla,Song,2017-01-29,Female,Asian,"13028 quail meadow dr  jacksonville, fl",32256,13131,388,,
31082,Brianna,Madison,Breding,2016-01-17,Female,White,"733 main stre  bradenton, fl",34209,13148,389,,
31116,Jaden,Jordan,Hawpe,2016-08-15,Male,Multiracial or Other,"4812 clarendon road  panama cty, fl",32408,13161,390,,
31232,Julian,Luca,Spohn,2017-04-29,Male,White,"208 cedar ln  oviedo, fl",32765,13211,391,,
31260,Julian,Judah,Leslie,2016-12-03,Male,White,"2250 sapodilla rd sw  englewood, fl",33947,13225,392,,
31303,Samuel,Luca,Legaspi,2019-12-05,Male,Multiracial or Other,"7504 silvana terrace rd  tampa, fl",33634,13244,393,,
31334,Alaina,Maritza,Mayen,2016-10-25,Female,Black,"29 roosevelt boulevard  temple terrace, fl",33592,13259,394,,
31483,William,David,Sparks,2020-03-01,Male,Black,"2016 main st  panama city beach, fl",32413,13311,395,,
31496,Addison,Jazmine,Wu,2019-06-03,Female,Asian,"411 hampton park dr  longwood, fl",32750,13316,396,,
31616,Wyatt,Kyree,Overy,2019-11-03,Male,Multiracial or Other,"151 signature farm ln  the villages, fl",32159,13369,397,,
31679,Gianna,Amara,Asturias,2018-07-02,Female,Latino," sierra avenue  jacksonville, fl",32206,13392,398,,
31744,Ryan,Mason,Herrera Lachman,2017-12-24,Male,Latino,"38367 yokohl valley dr  elkton, fl",32033,13426,399,,
31821,Braelyn,Journey,Gonzales,2017-09-30,Female,Latino,"859 r rd  merritt island, fl",32953,13453,400,,
31830,Nailah,Leah,Edelen,2019-01-12,Female,Black,"9009 wstn lake dr  belleview, fl",34420,13456,401,,
31903,Noah,Hakeem,Everts,2016-01-06,Male,White,"3378 w cedar dr  kendall, fl",33189,13489,402,,
31927,Elliot,Thomas,Gonzalez,2018-08-10,Male,Latino,"7 getzil berger boulevard u 203 unincorporated, fl",33406,13498,403,,
31946,Cameron,Wendell,Vasques,2019-08-06,Male,Latino,"606 riviera dunes way  temple terrace, fl",33612,13505,404,,
31997,John,Andre,Roman,2019-01-25,Male,Latino,"2081 silver  alva, fl",33920,13524,405,,
32157,Kayden,Leonardo,Dilligard,2019-08-15,Male,Black,"4299 w abergheny lane  bradenton, fl",34207,13594,406,,
32215,Harmoni,Penelope,Sams,2018-11-16,Female,White,"9921 35th ave ne  jacksonville, fl",32208,13620,407,,
32223,Johan,Gabriel,Hanson,2018-10-20,Male,White,"6821 ezzard charles ln  debary, fl",32713,13623,408,,
32239,Emiliano,Ever,Bradfield,2019-06-21,Male,White,"30214 e trap pond rd  palm spgs, fl",33461,13628,409,,
32258,Ari,Nathaniel,Manuel,2019-08-25,Male,Black,"9 forbes pl  largo, fl",33773,13638,410,,
32307,Camden,Jahir,Khavari,2016-06-05,Male,Multiracial or Other,"1746 delmar dr  port saint lucie, fl",34953,13655,411,,
32355,Emmie,Evelyn,Butler,2017-07-02,Female,Black,"9324 stone rd  north fort myers, fl",33917,13675,412,,
32391,Aaliyah,Saylor,Zec,2018-10-16,Female,White,"2302 thornknoll dr  largo, fl",33771,13694,413,,
32399,Griffin,Kaiden,Cosme-Costello,2018-09-14,Male,Latino,"7920 monterey shors dr  baldwin, fl",32234,13698,414,,
32400,Gabrielle,Aria,Sanches,2019-10-13,Female,Latino,"7920 monterey shors dr  baldwin, fl",32234,13698,415,,
32458,Maverick,Jeronimo,Wooddell,2015-10-06,Male,White,"2036 haniman drive 5th fl edgewater, fl",32141,13714,416,,
32629,Josephine,Breanna,Johnson,2019-03-15,Female,Black,"9045 21st ave sw  jacksonville, fl",32206,13786,417,,
32632,John,Emilio,Richardson,2020-01-28,Male,White,"80 jackson avnu  north fort myers, fl",33917,13787,418,,
32735,Eve,Diana,Smith,2018-02-16,Female,White,"2902 gdn st  deland, fl",32724,13832,419,,
32805,Nova,Emily,Carter,2018-02-02,Female,Black,"35224 brittany dr  st. petersburg, fl",33710,13862,420,,
32940,Thea,Saniya,Mote,2020-03-31,Female,White," page drive  unincorporated, fl",34786,13923,421,,
33078,Alivia,Paisley,Montoya,2020-02-08,Female,Latino,"140 s harbin dr  fort myers, fl",33919,13978,422,,
33087,Zoe,Nicole,Alves,2019-09-13,Female,White,"231 sylla street  sarasota, fl",34233,13981,423,,
33266,Alisha,Layla,Moore,2017-08-13,Female,White,"85-31 67 road  loughman, fl",34758,14056,424,,
33348,Abdiel,Samuel,Fredette,2019-12-04,Male,White,"1637 lake st  cape coral, fl",33993,14090,425,,
33477,Luca,Jayden,Lawrence,2020-02-25,Male,Black,"4531 shark dr  four-seasons-mobile-home-park, fl",33190,14141,426,,
33522,Tony,Milo,Nelson,2017-09-13,Male,Black," e bolger road  cape coral, fl",33991,14159,427,,
33731,Diana,Liz,Root,2017-05-16,Female,White,"2025 un st  hialeah, fl",33169,14249,428,,
33745,Sarah,Camila,Hanson,2019-06-28,Female,Multiracial or Other,"112 churchill dow  north lauderdale, fl",33068,14255,429,,
33868,Stephano,Mikael,Woods,2015-05-26,Male,Black,"2279 ellwood ave  miramar, fl",33023,14300,430,,
33872,Eva,Aurora,Heath,2018-04-15,Female,White,"11734 helta ct  fort myers, fl",33912,14301,431,,
33893,Lorenzo,Lance,Collins,2019-11-09,Male,Black,"14243 sw 24th st  saint augustine, fl",32080,14309,432,,
33954,Samuel,Blake,Yap,2019-01-29,Male,Multiracial or Other,"160 river road  destin, fl",32541,14336,433,,
34063,Camila,Victoria,Garcia,2018-12-25,Female,Latino,"6395 quebec st  st augustine, fl",32084,14382,434,,
34104,Liam,Stefan,Fisher,2016-06-26,Male,Black,"6290 shirley dr  fort myers, fl",33919,14399,435,,
34358,Eden,Layla,Cordova,2019-06-08,Female,White,"949 weimar ct  davie, fl",33325,14507,436,,
34385,Emma,Amia,Boyland,2018-11-27,Female,Black,"126 byberry rd  odessa, fl",33556,14520,437,,
34468,Santiago,Seth,Liu,2019-07-21,Male,Asian,"13190 fir rd  unincorporated, fl",33415,14557,438,,
34888,Isabella,Mira,Zurita,2018-10-13,Female,Latino,"5113 nth 144th avn  palm bay, fl",32905,14736,439,,
35045,Alexander,Casey,Langstaff,2015-07-31,Male,White,"1105 cr 256  lehigh acres, fl",33971,14801,440,,
35102,Camilla,Korra,Savage,2020-03-20,Female,Black,"657 worcester st  kendall, fl",33146,14828,441,,
35148,Gian,Marcus,Wolski,2019-01-15,Male,Asian,"1125 w grace st  kissimmee, fl",34746,14847,442,,
35394,Jadon,Adonis,Cedeno,2018-05-15,Male,Latino,"1225 edison ave  n bay village, fl",33141,14956,443,,
35447,Serenity,Lainey,Alvarez,2017-06-27,Female,Latino,"1986 s oak st  sarasota, fl",34232,14980,444,,
35468,Estelle,Karmen,Allen,2018-08-16,Female,White,"822 22nd st  franjo, fl",33196,14992,445,,
35491,Daniel,Micaiah,Cote,2020-03-04,Male,White,"1349 edelweiss dr  lehigh acres, fl",33973,15000,446,,
35576,Uriel,Riley,Smith,2019-07-15,Male,White,"1503 sheridan rd  cherry lake, fl",34748,15032,447,,
35598,Lana,Ayah,Brusso,2016-03-09,Female,White,"118 chaffee avenue east  tampa, fl",33614,15044,448,,
35620,Aubrey,Faith,Aldas,2016-11-24,Female,Latino,"9382 aviano dr 202  hudson, fl",34667,15052,449,,
35708,Slade,Daniel,Markland,2016-01-10,Male,White,"509 locke street  vero beach, fl",32967,15091,450,,
35779,Alice,Hannah,Ffrench,2017-12-15,Female,Black,"7500 york ave so  boca raton, fl",33496,15122,451,,
35970,Caroline,Kennedy,Windsor,2018-01-26,Female,White,"2519 martin ave  san antonio, fl",33576,15199,452,,
36035,Stefan,Gentry,Coleman,2017-06-12,Male,Black,"35 lewis st  bonita springs, fl",34135,15223,453,,
36037,Londyn,Eve,Sanders,2019-10-15,Female,Black,"35 lewis st  bonita springs, fl",34135,15223,454,,
36233,Elias,Kason,Knowles,2020-01-31,Male,White,"22111 prospect st  prt richey, fl",34668,15307,455,,
36288,Ryan,Robert,Cavallo,2017-02-08,Male,Latino,"1006 smith ridge rd  cape coral, fl",33914,15332,456,,
36321,Joanna,Chana,Rogers,2017-04-01,Female,Black,"5350 n brawley ave  coral springs, fl",33065,15346,457,,
36364,Sofia,Charm,Smoke,2019-10-08,Female,Black,"1221 kyle dr  jacksonville, fl",32210,15363,458,,
36507,Liam,Adrian,Villalobos,2018-02-01,Male,Latino,"1513 e twenty-fifth st  jacksonville, fl",32224,15430,459,,
36508,Gabriel,Matthew,Orozco,2019-04-26,Male,Latino,"1513 e twenty-fifth st  jacksonville, fl",32224,15430,460,,
36537,Salma,Milana,Jones,2019-05-18,Female,Black,"121 breanna way  sarasota, fl",34232,15445,461,,
36538,Cara,Celine,Huynh,2019-08-21,Female,Black,"121 breanna way  sarasota, fl",34232,15445,462,,
36558,Ariah,Kamari,Roland,2017-07-23,Female,Black,"2929 2nd ave n  hollywood, fl",33019,15452,463,,
36566,Scarlett,Kalani,Phillips,2018-04-27,Female,White," polar rock place southwest  riverview, fl",33578,15455,464,,
36586,Cora,Violetta,Hines,2016-07-08,Female,Black,"1818 w summer st  lane pk, fl",32726,15463,465,,
36605,Austin,Easton,Hiser,2015-07-12,Male,White,"2039 s forest ave  ormond beach, fl",32174,15471,466,,
36775,Christopher,Richard,Le,2018-01-09,Male,Asian,"416 dusty brk dr  bonita springs, fl",34135,15542,467,,
36787,Ariana,Jamie,Ivery,2019-09-10,Female,Black,"21400 golden triangle rd  kissimmee, fl",34747,15543,468,,
